lambda,train_acc,val_acc,weight_norm,train_loss
0.0,0.9225,0.68,2.3091342264820325,0.24151170860034055
0.001,0.9225,0.68,2.269832302803418,0.24890078700309917
0.01,0.9175,0.68,1.966983888153682,0.3020620401030537
0.1,0.88,0.67,0.9128261785289835,0.4693859637528937
1.0,0.8225,0.67,0.21596445554316263,0.6308427037239861
10.0,0.78,0.62,0.0280914851563491,0.6848931821633902
100.0,0.3675,0.35,15.197177260434206,23083.955500171214
